scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,0.5,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0728667305848514,0.345625,0.0,0.0,0.5270758122743683,0.0,
0.0,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0009587727708533077,0.00125,0.0,0.0,0.4187725631768953,0.0,
1.0,0.75,glue-cola,glue-mnli,glue-rte,glue-stsb,0.04218600191754554,0.344375,0.0,0.0,0.5270758122743683,0.0,
0.0,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.1444043321299639,0.0,
1.0,1.0,glue-cola,glue-mnli,glue-rte,glue-stsb,0.030680728667305847,0.311875,0.0,0.0,0.5270758122743683,0.0,
0.0,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.008027522935779817,
0.0,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0977948226270374,0.000625,0.0,0.0,0.0,0.33256880733944955,
1.0,0.5,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.17641418983700863,0.125625,0.0,0.0,0.01444043321299639,0.8119266055045872,0.7259378383222208
0.0,0.75,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-sst2,glue-stsb,0.05752636625119847,0.0,0.0,0.0,0.0,0.18004587155963303,0.0018510058101892015
