scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0022935779816513763,
0.75,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.18120805369127516,0.000625,0.0,0.0,0.0,0.2775229357798165,
1.0,1.0,glue-cola,glue-mnli,glue-mrpc,glue-sst2,glue-stsb,0.6279961649089166,0.045,0.0,0.0,0.0,0.6915137614678899,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.005733944954128441,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5043144774688398,0.006875,0.0,0.0,0.07581227436823104,0.41284403669724773,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5302013422818792,0.155625,0.0,0.03125,0.2563176895306859,0.7488532110091743,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.06999041227229147,0.000625,0.0,0.0,0.0,0.0860091743119266,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5752636625119847,0.018125,0.0,0.0,0.1407942238267148,0.5814220183486238,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.06999041227229147,0.000625,0.0,0.0,0.0,0.0860091743119266,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5752636625119847,0.018125,0.0,0.0,0.1407942238267148,0.5814220183486238,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0011467889908256881,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.06999041227229147,0.000625,0.0,0.0,0.0,0.0860091743119266,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,0.5752636625119847,0.018125,0.0,0.0,0.1407942238267148,0.5814220183486238,
0.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.3576222435282838,0.005,0.0,0.0,0.37184115523465705,0.0,
1.0,0.25,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.6510067114093959,0.214375,0.0,0.001875,0.5740072202166066,0.0011467889908256881,
0.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
