scaling_factor,k,dataset:0,dataset:1,dataset:2,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.5,1.0,glue-cola,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mrpc,glue-rte,0.3068072866730585,0.0,0.0,0.0,0.021660649819494584,0.0,-0.0323030368810438
1.0,1.0,glue-cola,glue-mrpc,glue-rte,0.6663470757430489,0.0,0.0,0.0,0.2815884476534296,0.0,
0.0,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-sst2,0.15532118887823587,0.0,0.0,0.0,0.0,0.2591743119266055,
0.75,0.25,glue-cola,glue-mrpc,glue-sst2,0.6538830297219559,0.0,0.0,0.0,0.0,0.7935779816513762,
1.0,0.25,glue-cola,glue-mrpc,glue-sst2,0.5608820709491851,0.0,0.0,0.0,0.0,0.35894495412844035,
0.0,0.5,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-sst2,0.009587727708533078,0.0,0.0,0.0,0.0,0.051605504587155966,
0.75,0.5,glue-cola,glue-mrpc,glue-sst2,0.6059443911792906,0.0,0.0,0.0,0.0,0.786697247706422,
1.0,0.5,glue-cola,glue-mrpc,glue-sst2,0.6356663470757431,0.0,0.0,0.0,0.0,0.6399082568807339,
0.0,0.75,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-sst2,0.009587727708533078,0.0,0.0,0.0,0.0,0.051605504587155966,
0.75,0.75,glue-cola,glue-mrpc,glue-sst2,0.6059443911792906,0.0,0.0,0.0,0.0,0.786697247706422,
1.0,0.75,glue-cola,glue-mrpc,glue-sst2,0.6356663470757431,0.0,0.0,0.0,0.0,0.6399082568807339,
0.0,1.0,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-sst2,0.009587727708533078,0.0,0.0,0.0,0.0,0.051605504587155966,
0.75,1.0,glue-cola,glue-mrpc,glue-sst2,0.6059443911792906,0.0,0.0,0.0,0.0,0.786697247706422,
1.0,1.0,glue-cola,glue-mrpc,glue-sst2,0.6356663470757431,0.0,0.0,0.0,0.0,0.6399082568807339,
0.0,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-stsb,0.07766059443911794,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.25,glue-cola,glue-mrpc,glue-stsb,0.6701821668264621,0.0,0.0,0.0,0.0,0.0045871559633027525,-0.0052703452029154
1.0,0.25,glue-cola,glue-mrpc,glue-stsb,0.6903163950143816,0.0,0.0,0.0,0.0,0.006880733944954129,0.18990216171395052
0.0,0.5,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.5,glue-cola,glue-mrpc,glue-stsb,0.40076701821668265,0.0,0.0,0.0,0.0,0.0,
1.0,0.5,glue-cola,glue-mrpc,glue-stsb,0.6816874400767018,0.0,0.0,0.0,0.0,0.008027522935779817,0.07016742841251487
0.0,0.75,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mrpc,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.75,glue-cola,glue-mrpc,glue-stsb,0.40076701821668265,0.0,0.0,0.0,0.0,0.0,
1.0,0.75,glue-cola,glue-mrpc,glue-stsb,0.6816874400767018,0.0,0.0,0.0,0.0,0.008027522935779817,0.07016742841251487
0.0,1.0,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mrpc,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mrpc,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,1.0,glue-cola,glue-mrpc,glue-stsb,0.40076701821668265,0.0,0.0,0.0,0.0,0.0,
1.0,1.0,glue-cola,glue-mrpc,glue-stsb,0.6816874400767018,0.0,0.0,0.0,0.0,0.008027522935779817,0.07016742841251487
0.0,0.25,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-qqp,glue-rte,0.016299137104506232,0.0,0.0,0.0,0.0036101083032490976,0.0,
0.75,0.25,glue-cola,glue-qqp,glue-rte,0.6011505273250239,0.0,0.0,0.030625,0.36101083032490977,0.0,
1.0,0.25,glue-cola,glue-qqp,glue-rte,0.6826462128475551,0.0,0.0,0.606875,0.48014440433212996,0.0,
0.0,0.5,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-qqp,glue-rte,0.1860019175455417,0.0,0.0,0.0,0.09386281588447654,0.0,
1.0,0.5,glue-cola,glue-qqp,glue-rte,0.6404602109300096,0.0,0.0,0.225625,0.48014440433212996,0.0011467889908256881,
0.0,0.75,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-qqp,glue-rte,0.1860019175455417,0.0,0.0,0.0,0.09386281588447654,0.0,
1.0,0.75,glue-cola,glue-qqp,glue-rte,0.6404602109300096,0.0,0.0,0.225625,0.48014440433212996,0.0011467889908256881,
0.0,1.0,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-qqp,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-qqp,glue-rte,0.1860019175455417,0.0,0.0,0.0,0.09386281588447654,0.0,
1.0,1.0,glue-cola,glue-qqp,glue-rte,0.6404602109300096,0.0,0.0,0.225625,0.48014440433212996,0.0011467889908256881,
0.0,0.25,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-qqp,glue-sst2,0.08341323106423777,0.0,0.0,0.0,0.0,0.06536697247706422,
0.75,0.25,glue-cola,glue-qqp,glue-sst2,0.6529242569511026,0.0,0.0,0.004375,0.0,0.75,
1.0,0.25,glue-cola,glue-qqp,glue-sst2,0.5618408437200384,0.0,0.0,0.294375,0.0,0.5860091743119266,
0.0,0.5,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-qqp,glue-sst2,0.0019175455417066154,0.0,0.0,0.0,0.0,0.013761467889908258,
0.75,0.5,glue-cola,glue-qqp,glue-sst2,0.5589645254074784,0.0,0.0,0.0,0.0,0.5057339449541285,
1.0,0.5,glue-cola,glue-qqp,glue-sst2,0.6510067114093959,0.0,0.0,0.02125,0.0,0.7305045871559633,
0.0,0.75,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-qqp,glue-sst2,0.0019175455417066154,0.0,0.0,0.0,0.0,0.013761467889908258,
0.75,0.75,glue-cola,glue-qqp,glue-sst2,0.5589645254074784,0.0,0.0,0.0,0.0,0.5057339449541285,
1.0,0.75,glue-cola,glue-qqp,glue-sst2,0.6510067114093959,0.0,0.0,0.02125,0.0,0.7305045871559633,
0.0,1.0,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-qqp,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-qqp,glue-sst2,0.0019175455417066154,0.0,0.0,0.0,0.0,0.013761467889908258,
0.75,1.0,glue-cola,glue-qqp,glue-sst2,0.5589645254074784,0.0,0.0,0.0,0.0,0.5057339449541285,
1.0,1.0,glue-cola,glue-qqp,glue-sst2,0.6510067114093959,0.0,0.0,0.02125,0.0,0.7305045871559633,
0.0,0.25,glue-cola,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-qqp,glue-stsb,0.02109300095877277,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.25,glue-cola,glue-qqp,glue-stsb,0.6577181208053692,0.0,0.0,0.0,0.0,0.0034403669724770644,
1.0,0.25,glue-cola,glue-qqp,glue-stsb,0.6826462128475551,0.0,0.0,0.38375,0.0,0.020642201834862386,0.160285221144893
0.0,0.5,glue-cola,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-qqp,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,-0.0323030368810438
0.75,0.5,glue-cola,glue-qqp,glue-stsb,0.3087248322147651,0.0,0.0,0.0,0.0,0.0011467889908256881,
