scaling_factor,k,dataset:0,dataset:1,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
1.0,0.25,glue-mnli,glue-sst2,0.0,0.308125,0.0,0.0,0.0036101083032490976,0.8944954128440367,
0.0,0.5,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mnli,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.021788990825688075,
0.75,0.5,glue-mnli,glue-sst2,0.0,0.13625,0.0,0.0,0.0,0.6341743119266054,
1.0,0.5,glue-mnli,glue-sst2,0.0,0.308125,0.0,0.0,0.0,0.9002293577981652,
0.0,0.75,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mnli,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.021788990825688075,
0.75,0.75,glue-mnli,glue-sst2,0.0,0.13625,0.0,0.0,0.0,0.6341743119266054,
1.0,0.75,glue-mnli,glue-sst2,0.0,0.308125,0.0,0.0,0.0,0.9002293577981652,
0.0,1.0,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mnli,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mnli,glue-sst2,0.0,0.000625,0.0,0.0,0.0,0.021788990825688075,
0.75,1.0,glue-mnli,glue-sst2,0.0,0.13625,0.0,0.0,0.0,0.6341743119266054,
1.0,1.0,glue-mnli,glue-sst2,0.0,0.308125,0.0,0.0,0.0,0.9002293577981652,
0.0,0.25,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mnli,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.25,glue-mnli,glue-stsb,0.0,0.229375,0.0,0.0,0.0,0.0,0.22508174716424176
1.0,0.25,glue-mnli,glue-stsb,0.0,0.458125,0.0,0.0,0.06859205776173286,0.0,0.4499671155504045
0.0,0.5,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mnli,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.5,glue-mnli,glue-stsb,0.0,0.111875,0.0,0.0,0.0,0.0,0.06141262820988034
1.0,0.5,glue-mnli,glue-stsb,0.0,0.4275,0.0,0.0,0.036101083032490974,0.0,0.3920378824025152
0.0,0.75,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mnli,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,0.75,glue-mnli,glue-stsb,0.0,0.111875,0.0,0.0,0.0,0.0,0.06141262820988034
1.0,0.75,glue-mnli,glue-stsb,0.0,0.4275,0.0,0.0,0.036101083032490974,0.0,0.3920378824025152
0.0,1.0,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mnli,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mnli,glue-stsb,0.0,0.000625,0.0,0.0,0.0,0.0,
0.75,1.0,glue-mnli,glue-stsb,0.0,0.111875,0.0,0.0,0.0,0.0,0.06141262820988034
1.0,1.0,glue-mnli,glue-stsb,0.0,0.4275,0.0,0.0,0.036101083032490974,0.0,0.3920378824025152
0.0,0.25,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.29375,0.0,0.0,-0.0323030368810438
1.0,0.25,glue-mrpc,glue-qqp,0.0,0.0,0.0024509803921568627,0.636875,0.0,0.0,0.003756796151278492
0.0,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.118125,0.0,0.0,
1.0,0.5,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.581875,0.0,0.0,0.013050720222088112
0.0,0.75,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.118125,0.0,0.0,
1.0,0.75,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.581875,0.0,0.0,0.013050720222088112
0.0,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.118125,0.0,0.0,
1.0,1.0,glue-mrpc,glue-qqp,0.0,0.0,0.0,0.581875,0.0,0.0,0.013050720222088112
0.0,0.25,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.25,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.51985559566787,0.0,
1.0,0.25,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.6859205776173285,0.0,-0.004508094795783378
0.0,0.5,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.4259927797833935,0.0,-0.0323030368810438
1.0,0.5,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.6787003610108303,0.0,
0.0,0.75,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.4259927797833935,0.0,-0.0323030368810438
1.0,0.75,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.6787003610108303,0.0,
0.0,1.0,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.4259927797833935,0.0,-0.0323030368810438
1.0,1.0,glue-mrpc,glue-rte,0.0,0.0,0.0,0.0,0.6787003610108303,0.0,
0.0,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.30963302752293576,
0.75,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.8979357798165137,
1.0,0.25,glue-mrpc,glue-sst2,0.0,0.0,0.004901960784313725,0.0,0.0,0.911697247706422,
0.0,0.5,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-mrpc,glue-sst2,0.0,0.0,0.0,0.0,0.0,0.0,
