scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,glue-cola,glue-mnli,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb
0.75,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.02205177372962608,0.0,0.0,0.0,0.0,0.020642201834862386,
1.0,0.5,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.47651006711409394,0.008125,0.0,0.0,0.22021660649819494,0.24541284403669725,
0.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.02205177372962608,0.0,0.0,0.0,0.0,0.020642201834862386,
1.0,0.75,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.47651006711409394,0.008125,0.0,0.0,0.22021660649819494,0.24541284403669725,
0.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.02205177372962608,0.0,0.0,0.0,0.0,0.020642201834862386,
1.0,1.0,glue-cola,glue-mnli,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.47651006711409394,0.008125,0.0,0.0,0.22021660649819494,0.24541284403669725,
0.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0009587727708533077,0.0,0.0,0.0,0.0,0.0034403669724770644,
0.75,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.44966442953020136,0.0,0.0,0.0,0.0,0.21100917431192662,
1.0,0.25,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.6529242569511026,0.0,0.0,0.0,0.07942238267148015,0.25229357798165136,
0.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.03355704697986577,0.0,0.0,0.0,0.0,0.01261467889908257,
1.0,0.5,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.44870565675934804,0.0,0.0,0.0,0.0,0.24311926605504589,
0.0,0.75,glue-cola,glue-mrpc,glue-qqp,glue-rte,glue-sst2,glue-stsb,0.0,0.0,0.0,0.0,0.0,0.0,
