scaling_factor,k,dataset:0,dataset:1,dataset:2,dataset:3,dataset:4,dataset:5,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.75,0.25,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5402313145131202,0.45053191489361705,0.24666666666666667,0.32565320665083136,0.5365079365079365,0.6360201511335013,0.12914874001229257
1.0,0.25,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5255565228205447,0.46063829787234045,0.2714814814814815,0.3548693586698337,0.5746031746031746,0.6326952141057934,0.17071296865396435
0.0,0.5,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5462007213033205,0.41914893617021276,0.22592592592592592,0.2917656373713381,0.4792063492063492,0.6197984886649874,0.10198985863552551
0.5,0.5,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5576420843178709,0.449468085106383,0.2537037037037037,0.3362628661916073,0.5322222222222223,0.6324937027707809,0.1404041180086048
0.75,0.5,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5612486009202835,0.47127659574468084,0.2948148148148148,0.39627870150435474,0.5912698412698413,0.6367254408060453,0.24439151813153043
1.0,0.5,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5556522820544708,0.4829787234042553,0.2588888888888889,0.4326999208234363,0.6165079365079366,0.6248866498740554,0.4644283958205286
0.0,0.75,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5464494465862455,0.41595744680851066,0.22518518518518518,0.2880443388756928,0.47714285714285715,0.6189420654911839,0.10210510141364475
0.5,0.75,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5563984579032458,0.4420212765957447,0.2518518518518518,0.3254948535233571,0.5263492063492063,0.6284130982367758,0.1381760909649662
0.75,0.75,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5631140405422211,0.4627659574468085,0.29074074074074074,0.37505938242280285,0.5819047619047619,0.6354156171284635,0.2312922556853104
1.0,0.75,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5607511503544336,0.4776595744680851,0.28629629629629627,0.4175771971496437,0.6228571428571429,0.6292191435768262,0.44522126613398894
0.0,1.0,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5466981718691705,0.4127659574468085,0.2225925925925926,0.2837688044338876,0.47174603174603175,0.6170780856423174,0.09930086047940996
0.5,1.0,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5582638975251835,0.43351063829787234,0.24444444444444444,0.3136975455265241,0.513015873015873,0.6269521410579345,0.12434695759065766
0.75,1.0,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.5657256560129337,0.45372340425531915,0.28185185185185185,0.35138558986539986,0.5622222222222222,0.6360705289672544,0.18089274738783037
1.0,1.0,Cars,DTD,GTSRB,RESISC45,SUN397,SVHN,0.572938689217759,0.4723404255319149,0.2811111111111111,0.3919239904988123,0.6114285714285714,0.6349622166246851,0.32164259373079285
0.0,0.25,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5412262156448203,0.4047872340425532,0.23296296296296296,0.2737133808392716,0.463968253968254,0.615919395465995,0.09415334972341734
0.5,0.25,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5452058201716204,0.4117021276595745,0.2633333333333333,0.29049881235154396,0.4957142857142857,0.6245340050377833,0.10529348494161032
0.75,0.25,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5485636114911081,0.42021276595744683,0.3181481481481481,0.3129057798891528,0.5334920634920635,0.6341561712846348,0.12669022741241548
1.0,0.25,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5450814575301579,0.4101063829787234,0.412962962962963,0.34085510688836107,0.5674603174603174,0.640705289672544,0.15968807621389058
0.0,0.5,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5486879741325705,0.40585106382978725,0.25703703703703706,0.29097387173396677,0.47968253968253965,0.6186901763224182,0.1010679164105716
0.5,0.5,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5639845790324587,0.41914893617021276,0.38,0.3343626286619161,0.53,0.6315869017632242,0.13606330669944683
0.75,0.5,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5753015794055466,0.42659574468085104,0.49037037037037035,0.3833729216152019,0.5811111111111111,0.6397984886649875,0.228680086047941
1.0,0.5,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5808978982713593,0.4271276595744681,0.5385185185185185,0.42953285827395093,0.6123809523809524,0.6348110831234257,0.4281653349723417
0.0,0.75,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5459519960203955,0.4047872340425532,0.26,0.2880443388756928,0.47523809523809524,0.6174811083123426,0.10160571604179472
0.5,0.75,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5562740952617834,0.41808510638297874,0.37148148148148147,0.32494061757719717,0.5187301587301587,0.6275566750629723,0.1390980331899201
0.75,0.75,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5710732495958214,0.42446808510638295,0.49074074074074076,0.3685669041963579,0.5703174603174603,0.6360201511335013,0.22967885679164105
1.0,0.75,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5800273597811217,0.4319148936170213,0.5574074074074075,0.4075217735550277,0.6123809523809524,0.6362216624685139,0.4305854333128457
0.0,1.0,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,1.0,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5448327322472329,0.4031914893617021,0.24814814814814815,0.28392715756136183,0.4704761904761905,0.6163224181360202,0.09926244622003688
0.5,1.0,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5534137545081458,0.41382978723404257,0.3277777777777778,0.3126682501979414,0.5082539682539683,0.6257934508816121,0.12523048555623847
0.75,1.0,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5665961945031712,0.4223404255319149,0.4562962962962963,0.3460807600950119,0.5522222222222222,0.6336020151133501,0.1830439459127228
1.0,1.0,Cars,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5771670190274841,0.43031914893617024,0.5255555555555556,0.38234362628661916,0.594920634920635,0.6385894206549119,0.30846650276582666
0.0,0.25,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.25,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5384902375326452,0.4117021276595745,0.22925925925925925,0.2753760886777514,0.4649206349206349,0.6161209068010075,0.09388444990780578
0.5,0.25,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5381171496082576,0.4329787234042553,0.2588888888888889,0.29825811559778304,0.49714285714285716,0.6248362720403022,0.10398740012292564
0.75,0.25,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.531525929610745,0.4531914893617021,0.29888888888888887,0.3271575613618369,0.5388888888888889,0.6300251889168765,0.12238783036263061
1.0,0.25,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.518965302823032,0.46702127659574466,0.3277777777777778,0.3608867775138559,0.5711111111111111,0.625088161209068,0.1520820528580209
0.0,0.5,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.5,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5389876880984952,0.4175531914893617,0.24925925925925926,0.29239904988123516,0.48142857142857143,0.6187909319899244,0.10175937307928704
0.5,0.5,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5439621937569954,0.44361702127659575,0.3322222222222222,0.3370546318289786,0.5307936507936508,0.62911838790932,0.13879071911493546
0.75,0.5,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5388633254570327,0.47127659574468084,0.4488888888888889,0.39406175771971497,0.5822222222222222,0.6333501259445844,0.2316379840196681
1.0,0.5,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5198358413132695,0.475,0.43555555555555553,0.43333333333333335,0.5944444444444444,0.6199496221662468,0.40880454824830975
0.0,0.75,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.25,0.75,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5389876880984952,0.41382978723404257,0.25555555555555554,0.29073634204275534,0.4765079365079365,0.6180856423173804,0.10252765826674862
0.5,0.75,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN,0.5434647431911453,0.43670212765957445,0.3514814814814815,0.32755344418052257,0.5266666666666666,0.6281108312342569,0.14071143208358944
