scaling_factor,k,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.25,0.25,Cars,DTD,RESISC45,0.6204452182564357,0.4856382978723404,0.324074074074074,0.2760886777513855,0.6444444444444445,0.6270025188916877,0.099339274738783
0.5,0.25,Cars,DTD,RESISC45,0.6797661982340505,0.5659574468085107,0.4251851851851851,0.2802058590657165,0.8123809523809524,0.6283123425692695,0.1139366933005531
0.75,0.25,Cars,DTD,RESISC45,0.7288894416117399,0.6329787234042553,0.5070370370370371,0.2767220902612826,0.9204761904761904,0.6160705289672544,0.1300706822372464
1.0,0.25,Cars,DTD,RESISC45,0.7553786842432533,0.6824468085106383,0.522962962962963,0.2702296120348377,0.946984126984127,0.5916876574307305,0.1417486170866625
0.0,0.5,Cars,DTD,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,RESISC45,0.6301455042905111,0.4882978723404255,0.3522222222222222,0.2781472684085511,0.6806349206349206,0.6289672544080604,0.1022971727105101
0.5,0.5,Cars,DTD,RESISC45,0.6914562865315259,0.5707446808510638,0.4766666666666667,0.2778305621536025,0.8588888888888889,0.627455919395466,0.1206207744314689
0.75,0.5,Cars,DTD,RESISC45,0.732122870289765,0.6281914893617021,0.5251851851851852,0.2706254948535233,0.9376190476190476,0.6084130982367758,0.1317224953902888
1.0,0.5,Cars,DTD,RESISC45,0.7500310906603657,0.6627659574468086,0.5233333333333333,0.2663499604117181,0.9474603174603174,0.573198992443325,0.1346035648432698
0.0,0.75,Cars,DTD,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.75,Cars,DTD,RESISC45,0.6255440865563985,0.4851063829787234,0.3462962962962962,0.2774346793349169,0.6692063492063492,0.6295717884130982,0.1021819299323909
0.5,0.75,Cars,DTD,RESISC45,0.6839945280437757,0.5601063829787234,0.4737037037037037,0.2779889152810768,0.8395238095238096,0.6282115869017633,0.1184311616472034
0.75,0.75,Cars,DTD,RESISC45,0.7241636612361646,0.6148936170212767,0.5174074074074074,0.2678543151227237,0.9293650793650794,0.613198992443325,0.127919483712354
1.0,0.75,Cars,DTD,RESISC45,0.7440616838701654,0.6452127659574468,0.5277777777777778,0.2640538400633412,0.945873015873016,0.5851889168765743,0.1293408113091579
0.0,1.0,Cars,DTD,RESISC45,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,1.0,Cars,DTD,RESISC45,0.6170874269369482,0.475531914893617,0.327037037037037,0.2760886777513855,0.6460317460317461,0.62911838790932,0.1003764597418561
0.5,1.0,Cars,DTD,RESISC45,0.6736724288023878,0.5425531914893617,0.4562962962962963,0.2806017418844022,0.8006349206349206,0.6299244332493703,0.1146281499692686
0.75,1.0,Cars,DTD,RESISC45,0.7132197487874642,0.6031914893617021,0.5096296296296297,0.273396674584323,0.9112698412698412,0.6204030226700252,0.126459741856177
1.0,1.0,Cars,DTD,RESISC45,0.7392115408531277,0.6319148936170212,0.5322222222222223,0.2673000791765637,0.9423809523809524,0.6007052896725441,0.1316840811309158
0.0,0.25,Cars,DTD,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.25,Cars,DTD,SUN397,0.6196990424076607,0.4861702127659574,0.2862962962962962,0.2783847980997624,0.5047619047619047,0.6716876574307304,0.0960740626920712
0.5,0.25,Cars,DTD,SUN397,0.6836214401193882,0.5643617021276596,0.3385185185185185,0.2889152810768012,0.5333333333333333,0.7169773299748111,0.1050629993853718
0.75,0.25,Cars,DTD,SUN397,0.7256560129337147,0.6313829787234042,0.3625925925925926,0.2924782264449723,0.5379365079365079,0.7437783375314861,0.1216579594345421
1.0,0.25,Cars,DTD,SUN397,0.7516478049993782,0.6813829787234043,0.3714814814814814,0.2868566904196358,0.5125396825396825,0.7525944584382872,0.1472034419176398
0.0,0.5,Cars,DTD,SUN397,0.5365004352692451,0.400531914893617,0.2185185185185185,0.2635787806809184,0.4479365079365079,0.6108816120906801,0.0890826674861708
0.25,0.5,Cars,DTD,SUN397,0.6305185922148987,0.4909574468085106,0.2981481481481481,0.2818685669041963,0.5141269841269841,0.6787909319899245,0.0980331899200983
0.5,0.5,Cars,DTD,SUN397,0.6975500559631886,0.5829787234042553,0.3559259259259259,0.2879651623119557,0.5360317460317461,0.7225188916876575,0.1118239090350338
0.75,0.5,Cars,DTD,SUN397,0.7400820793433652,0.6462765957446809,0.3666666666666666,0.2888361045130641,0.523968253968254,0.7479093198992444,0.1399047326367547
1.0,0.5,Cars,DTD,SUN397,0.7455540355677155,0.6856382978723404,0.36,0.2760886777513855,0.4780952380952381,0.7451889168765743,0.1762830362630608
