scaling_factor,dataset:0,dataset:1,dataset:2,Cars,DTD,EuroSAT,GTSRB,RESISC45,SUN397,SVHN
0.9,Cars,SUN397,SVHN,0.6499191642830494,0.41595744680851066,0.2803703703703704,0.30665083135391924,0.5314285714285715,0.6471032745591939,0.743200676090965
0.9500000000000001,Cars,SUN397,SVHN,0.6491729884342743,0.4127659574468085,0.2607407407407407,0.30831353919239907,0.5317460317460317,0.646801007556675,0.7537645974185617
1.0,Cars,SUN397,SVHN,0.6501678895659744,0.4117021276595745,0.24074074074074073,0.3083927157561362,0.5301587301587302,0.6456423173803526,0.7612937922556853
0.0,DTD,EuroSAT,GTSRB,0.5365004352692451,0.400531914893617,0.21851851851851853,0.26357878068091845,0.4479365079365079,0.6108816120906801,0.08908266748617087
0.05,DTD,EuroSAT,GTSRB,0.5401069518716578,0.41117021276595744,0.2437037037037037,0.2837688044338876,0.4558730158730159,0.6134508816120907,0.09207897971727105
0.1,DTD,EuroSAT,GTSRB,0.5420967541350579,0.41648936170212764,0.2725925925925926,0.3022961203483769,0.4633333333333333,0.6148614609571789,0.09542102028272895
0.15000000000000002,DTD,EuroSAT,GTSRB,0.5437134684740704,0.42446808510638295,0.302962962962963,0.3193982581155978,0.46904761904761905,0.6167254408060453,0.09826367547633681
0.2,DTD,EuroSAT,GTSRB,0.5444596443228454,0.4329787234042553,0.35962962962962963,0.3333333333333333,0.4768253968253968,0.6175314861460958,0.10133681622618317
0.25,DTD,EuroSAT,GTSRB,0.547071259793558,0.4398936170212766,0.41,0.34600158353127475,0.48238095238095235,0.6189420654911839,0.10471727105101414
0.30000000000000004,DTD,EuroSAT,GTSRB,0.5495585126228081,0.44840425531914896,0.447037037037037,0.3576405384006334,0.4876190476190476,0.6198992443324937,0.10844345421020282
0.35000000000000003,DTD,EuroSAT,GTSRB,0.5489366994154956,0.4521276595744681,0.4751851851851852,0.36634996041171813,0.49126984126984125,0.6209571788413099,0.11240012292563
0.4,DTD,EuroSAT,GTSRB,0.5495585126228081,0.4563829787234043,0.4951851851851852,0.37672209026128267,0.49253968253968256,0.6208564231738035,0.11551167793484941
0.45,DTD,EuroSAT,GTSRB,0.5504290511130456,0.4627659574468085,0.5203703703703704,0.38788598574821853,0.4926984126984127,0.6205541561712846,0.1196220036877689
0.5,DTD,EuroSAT,GTSRB,0.5506777763959706,0.46914893617021275,0.5348148148148149,0.39802058590657163,0.4949206349206349,0.6195465994962217,0.12315611555009219
0.55,DTD,EuroSAT,GTSRB,0.5508021390374331,0.4723404255319149,0.5588888888888889,0.4085510688836104,0.4984126984126984,0.6191939546599496,0.1263060848186847
0.6000000000000001,DTD,EuroSAT,GTSRB,0.5499316005471956,0.475,0.577037037037037,0.4168646080760095,0.5020634920634921,0.6192947103274559,0.12911032575291947
0.65,DTD,EuroSAT,GTSRB,0.5496828752642706,0.4797872340425532,0.5955555555555555,0.4233570863024545,0.5047619047619047,0.6187909319899244,0.13137676705593115
0.7000000000000001,DTD,EuroSAT,GTSRB,0.5496828752642706,0.4829787234042553,0.6133333333333333,0.43143309580364214,0.5071428571428571,0.6180352644836272,0.1333358942839582
0.75,DTD,EuroSAT,GTSRB,0.5495585126228081,0.48617021276595745,0.6281481481481481,0.4387965162311956,0.5077777777777778,0.6170277078085642,0.13475722188076214
0.8,DTD,EuroSAT,GTSRB,0.5501803258301207,0.48617021276595745,0.644074074074074,0.44615993665874903,0.5082539682539683,0.6162216624685138,0.13544867854947756
